ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight	ID
0.000446665072230516	1.72247666994633e-06	2.66093113228226e-07	1.90417089103518e-07	0.115432164831803	2.66093113228226e-07	7.08055072257613e-13	1.76855720057203e-12	NA	P42588
0.000449626786174021	0.384049949088618	3.2788680366687e-06	0.000168507816806277	3.7219071036134e-05	3.7219071036134e-05	1.38515613554641e-08	2.52441321771406e-08	NA	P09996
0.000450329332324456	0.542977713811202	1.67908018376334e-06	4.25415966399986e-05	0.784740025578532	4.25415966399986e-05	1.80963346709833e-08	3.27666642343532e-08	NA	P69801
0.000450871878743347	0.912174777867507	0.65429177741212	0.00169634694463174	0.621274811922469	0.00169634694463174	2.86784257971509e-05	4.12482756645397e-05	NA	P32684
0.000459543195406249	0.0651417313029341	3.23820789136667e-09	1.10318324425226e-08	8.29880343969153e-06	1.10318324425226e-08	1.21701324354717e-15	3.83076742483624e-15	NA	A5A614
0.000462805726920787	0.215865971523559	0.916506296772721	2.11789251585117e-09	9.28732290307188e-08	9.28732290307188e-08	8.62543506844816e-14	2.31737379149904e-13	NA	P0AB43
0.000466230972014203	0.000177314407162168	1.2918326585708e-07	2.40746560099407e-08	5.42683691354261e-08	5.42683691354261e-08	2.94505556897211e-14	8.20801290580273e-14	NA	P0AAN5
0.000467312607872448	6.95385414849499e-09	3.85116890174478e-06	1.9393699749809e-05	NA	NA	NA	NA	NA	P75937
0.000470022911682912	0.0368326685774796	6.75927525001936e-09	0.000930170410757526	2.79098685074101e-11	6.75927525001936e-09	4.56878012878915e-16	1.50145813924084e-15	NA	P0A6W5
0.000473575165648009	1.76841407165183e-08	3.1037211741607e-11	7.36411921185547e-13	3.12542290907997e-08	3.1037211741607e-11	9.63308512633549e-21	5.09665354911083e-20	NA	P0ACP1
0.000481445238948949	0.000521344395008918	9.25633940965577e-05	2.64676667249301e-09	3.63858076499784e-10	2.64676667249301e-09	7.00537378153656e-17	2.45737092838226e-16	NA	P76541
0.000489803538561978	2.66410317654429e-05	4.14692898235874e-10	6.24652056738516e-10	1.05358998290634e-08	6.24652056738516e-10	3.90190191500191e-18	1.55381788003101e-17	NA	P0AEW4
0.0004917703664786	0.341735889435767	0.0890788085381435	0.48066262769465	0.0221930810841604	0.0221930810841604	0.00471032934537311	0.00561028050821981	NA	P08190
0.000495194754448648	2.59635877535795e-06	3.77486013861108e-11	5.19715836482505e-12	0.872819675598645	3.77486013861108e-11	1.4249569064999e-20	7.33115760171673e-20	NA	P37794
0.000499932589960035	0.100899777888172	9.3406245842297e-06	2.17558308849393e-07	6.87813449982845e-08	2.17558308849393e-07	4.73315971546378e-13	1.19557691232595e-12	NA	P00957
0.000500242007615612	0.00755910547492806	7.62426538760513e-06	9.06908533032671e-12	6.42951029241129e-10	6.42951029241129e-10	4.13386025470654e-18	1.64035093085696e-17	NA	P24186
0.000502224061215488	7.37236568210763e-07	4.29707709366016e-08	1.35155764188707e-09	3.18825040123443e-13	1.35155764188707e-09	1.82670805440553e-17	6.74615944844814e-17	NA	P43329
0.000505335925358292	0.000634443534872383	5.05481107352086e-10	1.05254891249585e-07	4.6305194866736e-11	5.05481107352086e-10	2.5551114963158e-18	1.03405778096831e-17	NA	P0ACF4
0.000508473846561101	0.000196397437027995	6.66681705928269e-05	8.61674876633149e-11	9.12927447160152e-10	9.12927447160152e-10	8.33436522256618e-18	3.20486415259504e-17	NA	P45800
0.00051052543532077	0.0986435857369526	NA	0.125969668456279	4.95896500066365e-09	NA	NA	NA	NA	P0ACF8;P0ACG1
0.000512282348664202	0.0727610133686477	8.95440970378567e-09	0.00239578852955687	3.7190445461824e-09	8.95440970378567e-09	8.01814517072957e-16	2.57454933889423e-15	NA	P0C079
0.000512607828639867	0.0392505490731158	2.20205744309626e-10	6.75974381715111e-06	7.350712505831e-09	7.350712505831e-09	5.40329735490186e-16	1.75764236631837e-15	NA	P15639
0.000513731557952858	0.00292841615125018	2.0503739371711e-08	6.41575560537276e-10	6.35503648194053e-09	6.35503648194053e-09	4.03864881734797e-16	1.33311151227504e-15	NA	P16926
