ID	ind.p.lab_A	ind.p.lab_B	ind.p.lab_C	ind.p.lab_D	ind.p.lab_E	stat	pval	FDR	weight
P02925	1.58649844019031e-14	1.79301782797462e-16	6.40725847836487e-18	3.19451751516878e-23	7.96735913498679e-21	411.396356865587	3.52868512313907e-82	4.40087947262775e-80	NA
P0ABH7	1.72046349220251e-14	5.56179955616813e-19	1.35610302495655e-17	3.10791881582524e-21	6.13284788235033e-19	403.443830455172	1.74076729833518e-80	1.55549992158379e-78	NA
P0C0L7	1.75588696532496e-14	2.13973811580849e-10	3.24281805787967e-16	7.40522640491537e-17	7.73253604816705e-18	332.292317548312	2.26938627486866e-65	6.17174397795803e-64	NA
P0ABF4	1.91543129131369e-14	5.19865657088635e-12	1.81634285737186e-13	8.15792245776182e-16	1.52359816747711e-13	302.321107838676	5.02245618842117e-59	9.51983741168921e-58	NA
P0A991	1.92947326445511e-14	1.51877758794695e-10	2.86156465221744e-16	1.53806463930646e-16	1.61080555535025e-17	330.109862192861	6.58332556399332e-65	1.77112694205498e-63	NA
P77536	2.8054083119916e-14	1.80277828692037e-15	3.0118171937491e-16	1.28250926226076e-15	1.21418330571719e-13	329.844799833598	7.49231488664232e-65	1.99423104748714e-63	NA
P08997	3.35054584968282e-14	4.32031022291473e-15	5.57039439081105e-16	3.98669464081598e-17	5.44555633252091e-14	335.057576651078	5.88503823563612e-66	1.61806216105072e-64	NA
P08202	3.37522902334169e-14	3.1136297950426e-13	2.2264647817723e-15	1.80696932061261e-20	5.5225528056455e-17	352.902127407977	9.64857691864626e-70	3.26226208789905e-68	NA
P0AAG8	3.43984320593696e-14	1.52644730021252e-18	2.96766579741992e-22	2.24216957079871e-24	2.0518462508053e-08	387.499978853949	4.29750532781697e-77	2.75701495646104e-75	NA
Q47146	3.60980447528682e-14	3.14278994248314e-18	3.16283932799221e-13	3.23827194780217e-14	1.57341598561548e-17	339.575887019915	6.48247219087289e-67	1.90813475547812e-65	NA
P05042	3.61350836444163e-14	4.16563411485586e-14	4.60672619287187e-11	6.98792274657889e-16	7.70999098101923e-20	328.936233018702	1.16720337866391e-64	3.04202380564281e-63	NA
P60757	3.76535908499001e-14	4.16896897985493e-12	1.98227028671436e-13	2.54053511707594e-19	1.83713068915859e-15	326.220754641175	4.39029452552523e-64	1.08757593097665e-62	NA
P0A853	3.76778467933256e-14	1.29393239918612e-19	7.96678217486762e-13	1.17929711592695e-15	9.37818455279441e-16	342.472587063198	1.57542805220939e-67	4.80697681296085e-66	NA
P0AC38	4.57432210300012e-14	4.94743764091841e-11	1.13863757758247e-13	1.42514498307891e-18	5.59270022458957e-16	320.922460360649	5.81749117373515e-63	1.33535439602618e-61	NA
P32705	4.63162685901661e-14	NA	6.20974979782664e-14	1.22198193890574e-05	1.5011344890766e-16	217.721891085956	1.16621706952076e-42	1.07274820144888e-41	NA
P05793	4.73474021247124e-14	8.22490103691216e-11	9.68790089998123e-16	1.16141132794406e-17	1.08170596602128e-19	342.275811876965	1.73434400049839e-67	5.22810685451442e-66	NA
P0ACL9	4.86552555954475e-14	3.71868303157884e-17	1.00943471718083e-14	2.66387608670554e-16	7.40934493835499e-19	356.638696720751	1.55335239730032e-70	5.47392633527522e-69	NA
P76346	5.03350631016875e-14	2.66985705759779e-11	1.43754110825932e-14	2.1551677448138e-19	1.09976851158961e-19	346.950016081791	1.76835386079458e-68	5.53052669963504e-67	NA
P30863	5.59091322407157e-14	2.72641854855606e-09	1.10317346511468e-13	4.20492153491605e-17	8.76350884768112e-12	286.477713072791	1.11789046068514e-55	1.79292431579117e-54	NA
P76558	5.75354790018073e-14	1.70701673931663e-19	3.0649723249693e-17	6.80607253537972e-21	3.02053132854261e-18	397.004445619416	4.08531554567321e-79	3.40715316509146e-77	NA
P07913	6.58540380906094e-14	1.72933099181274e-11	4.0575831749915e-11	1.98687655416003e-17	8.24393910616818e-14	295.287962640435	1.54003533326949e-57	2.81253168163523e-56	NA
